Experimento,Celulas,Plasmido,Luciferasa,Renilla,Raro
PILOTO_K562,K562,VV,1.307,1099,NO
PILOTO_K562,K562,VV,1.328,952.1,NO
PILOTO_K562,K562,VV,1.827,1354,NO
PILOTO_K562,K562,POS_CNTRL,95.06,1485,NO
PILOTO_K562,K562,POS_CNTRL,100.4,1926,NO
PILOTO_K562,K562,POS_CNTRL,123.9,2157,NO
PILOTO_K562,K562,LARGE-F,3.779,1521,NO
PILOTO_K562,K562,LARGE-F,2.464,1317,NO
PILOTO_K562,K562,LARGE-F,4.564,1729,NO
M10_29_10_15,MCF10A,VV,0.03,209.6,NO
M10_29_10_15,MCF10A,VV,0.128,88.58,NO
M10_29_10_15,MCF10A,VV,0.059,188.1,NO
M10_29_10_15,MCF10A,POS_CNTRL,1.22,117.6,NO
M10_29_10_15,MCF10A,POS_CNTRL,1.43,124.4,NO
M10_29_10_15,MCF10A,POS_CNTRL,0.946,80.67,NO
M10_29_10_15,MCF10A,CP-F,0.109,231.5,NO
M10_29_10_15,MCF10A,CP-F,0.018,179.8,NO
M10_29_10_15,MCF10A,CP-F,0.085,133.5,NO
M10_29_10_15,MCF10A,CP-R,1.24,189.1,NO
M10_29_10_15,MCF10A,CP-R,1.354,188.2,NO
M10_29_10_15,MCF10A,CP-R,1.078,205.2,NO
M10_29_10_15,MCF10A,SMALL-F,1.299,191.1,NO
M10_29_10_15,MCF10A,SMALL-F,2.895,396.8,NO
M10_29_10_15,MCF10A,SMALL-F,9.828,282.5,NO
M10_29_10_15,MCF10A,SMALL-R,1.881,190.8,NO
M10_29_10_15,MCF10A,SMALL-R,1.935,164.8,NO
M10_29_10_15,MCF10A,SMALL-R,1.577,714.1,NO
M10_09_11_15,MCF10A,POS_CNTRL,2.843,520.1,NO
M10_09_11_15,MCF10A,POS_CNTRL,2.717,682.5,NO
M10_09_11_15,MCF10A,POS_CNTRL,2.551,640.1,NO
M10_09_11_15,MCF10A,VV,0.051,387.8,NO
M10_09_11_15,MCF10A,VV,0.314,913,NO
M10_09_11_15,MCF10A,VV,0.555,386.3,NO
M10_09_11_15,MCF10A,SMALL-F,2.632,604.9,NO
M10_09_11_15,MCF10A,SMALL-F,1.967,518.2,NO
M10_09_11_15,MCF10A,SMALL-F,1.05,399.2,NO
M10_09_11_15,MCF10A,SMALL-R,3.289,625.4,NO
M10_09_11_15,MCF10A,SMALL-R,2.106,475.3,NO
M10_09_11_15,MCF10A,SMALL-R,16.36,499.3,NO
M10_09_11_15,MCF10A,MR-F,1.228,666.4,NO
M10_09_11_15,MCF10A,MR-F,5.016,1254,NO
M10_09_11_15,MCF10A,MR-F,2.593,499.3,NO
M10_09_11_15,MCF10A,MR-R,0.175,682.8,NO
M10_09_11_15,MCF10A,MR-R,0.349,804.5,NO
M10_09_11_15,MCF10A,MR-R,0.306,1092,NO
M10_09_11_15,MCF10A,CP-F,0.143,316.4,NO
M10_09_11_15,MCF10A,CP-F,0.252,660.6,NO
M10_09_11_15,MCF10A,CP-F,0.168,531.2,NO
M10_09_11_15,MCF10A,CP-R,4.834,825.8,NO
M10_09_11_15,MCF10A,CP-R,3.515,1298,NO
M10_09_11_15,MCF10A,CP-R,4.953,375.5,NO
M10_09_11_15,MCF10A,LARGE-F,0.264,632.6,NO
M10_09_11_15,MCF10A,LARGE-F,0.259,214.3,NO
M10_09_11_15,MCF10A,LARGE-F,0.144,640.3,NO
M10_09_11_15,MCF10A,LARGE-R,0.166,554.3,NO
M10_09_11_15,MCF10A,LARGE-R,0.114,1153,NO
M10_09_11_15,MCF10A,LARGE-R,0.871,483.9,NO
M10_13_11_15,MCF10A,POS_CNTRL,4.205,321.6,NO
M10_13_11_15,MCF10A,POS_CNTRL,0.952,201,NO
M10_13_11_15,MCF10A,POS_CNTRL,1.125,248.6,NO
M10_13_11_15,MCF10A,VV,0.232,307.6,NO
M10_13_11_15,MCF10A,VV,0.889,559.7,NO
M10_13_11_15,MCF10A,VV,0.135,628.4,NO
M10_13_11_15,MCF10A,SMALL-F,1.284,316.1,NO
M10_13_11_15,MCF10A,SMALL-F,1.865,531.8,NO
M10_13_11_15,MCF10A,SMALL-F,1.197,442.5,NO
M10_13_11_15,MCF10A,SMALL-R,0.812,196.3,NO
M10_13_11_15,MCF10A,SMALL-R,1.327,326.3,NO
M10_13_11_15,MCF10A,SMALL-R,1.075,422.1,NO
M10_13_11_15,MCF10A,MR-F,1.041,385.1,NO
M10_13_11_15,MCF10A,MR-F,0.601,612.8,NO
M10_13_11_15,MCF10A,MR-F,0.992,727.5,NO
M10_13_11_15,MCF10A,MR-R,0.108,330,NO
M10_13_11_15,MCF10A,MR-R,0.321,890.3,NO
M10_13_11_15,MCF10A,MR-R,0.101,552,NO
M10_13_11_15,MCF10A,CP-F,0.17,118.7,NO
M10_13_11_15,MCF10A,CP-F,0.35,276.7,NO
M10_13_11_15,MCF10A,CP-F,0.868,407.4,NO
M10_13_11_15,MCF10A,CP-R,0.187,313.5,NO
M10_13_11_15,MCF10A,CP-R,0.791,311.8,NO
